device,ip,timestamp,host
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.072Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.073Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.077Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.077Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.077Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.081Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.081Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.085Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.089Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.089Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.091Z,Cablevision Systems Corp. (CVNT-Z)
192.168.1.5,167.206.252.143,2018-08-30T15:13:52.091Z,Cablevision Systems Corp. (CVNT-Z)
